sku_type_id,sku_supplier_id,sku_internal_code,sku_code,sku_origin,sku_size_d,sku_size_w,sku_size_h,sku_shape_id,sku_colour_id,sku_weight
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,1/98681,,1.4,3.4,0,13,,0.28
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,100J7-0076,,0,0,0,16,,1
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,112H6-1748,,0,0,0,16,,1.12
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,16/01/15123/24,,3.7,3.75,0,16,,0.42
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,30E5-9613,,0,0,0,16,,0.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,30E6-0914,,0,0,0,16,,0.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,30E6-3697,,0,0,0,16,,0.3
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,30F6-1215,,0,0,0,16,,0.3
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,30F7-9989,,0,0,0,16,,0.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,30G7-5752,,0,0,0,16,,0.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,31E5-3210,,0,0,0,16,,0.31
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,31E5-6489,,0,0,0,16,,0.31
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-0004,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-0046,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-0787,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-0963,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-1091,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-2816,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-3019,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-5629,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-6248,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-8273,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-8720,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E5-9298,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E6-2514,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E6-2968,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E6-3069,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E6-7793,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E7-8824,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40E7-9921,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40F5-5416,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40F6-8935,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40F6-9256,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40F6-9630,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40F6-9847,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40F7-3720,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,40G5-1432,,0,0,0,16,,0.4
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,5/183149,,0,0,0,13,,0.21
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,5/183804,,0,0,0,13,,0.16
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,5/186407,,0,0,0,15,,0.09
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,5/186969,,1.2,1.2,0,15,,0.08
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,5/186969,,1.3,1.3,0,15,,0.15
