sku_type,sku_supplier,sku_code,,sku_origin,sku_size_d,sku_size_w,sku_size_h,sku_shape,sku_color,sku_weight,sku_image
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,1/98681,,,1.4,3.4,,OC,,0.28,
12,,100J7-0076,,,,,,RD,,1,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,112H6-1748,,,,,,RD,,1.12,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,16/01/15123/24,,,3.7,3.75,,RD,,0.42,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,30E5-9613,,,,,,RD,,0.3,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,30E6-0914,,,,,,RD,,0.3,
12,,30E6-3697,,,,,,RD,,0.3,
12,,30F6-1215,,,,,,RD,,0.3,
12,,30F7-9989,,,,,,RD,,0.3,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,30G7-5752,,,,,,RD,,0.3,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,31E5-3210,,,,,,RD,,0.31,
12,,31E5-6489,,,,,,RD,,0.31,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-0004,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-0046,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-0787,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-0963,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-1091,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-2816,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-3019,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-5629,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-6248,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-8273,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-8720,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E5-9298,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E6-2514,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E6-2968,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E6-3069,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E6-7793,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40E7-8824,,,,,,RD,,0.4,
